ลำดับ,ชื่อนิติบุคคล,ที่ตั้ง,id,cleaned_address,latitude,longitude
7,10 โฮลดิ้งส์ จำกัด,367/1  ซอยประชาสันติ ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,7.0,367/1 ซอยประชาสันติ ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,13.6736952,100.5977209
10,147 คอร์ปอเรชั่นส์ จำกัด,27/5  ซอยแสมดำ 21 ถนนพระรามที่ 2 แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,10.0,27/5 ซอยแสมดำ 21 ถนนพระรามที่ 2 แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,14.0812363,100.5792157
12,192 รอยัล โฮลดิ้ง จำกัด,101  อาคารทรู ดิจิทัล พาร์ค อาคารกริฟฟิน ชั้นที่ 16  ห้องเลขที่ 1602 ถนนสุขุมวิท บางจาก เขตพระโขนง กรุงเทพมหานคร,12.0,101 ถนนสุขุมวิท บางจาก เขตพระโขนง กรุงเทพมหานคร,13.7325496,100.7901978
15,3 พี เอ็ม กรุ๊ป จำกัด,9/22  หมู่บ้าน ลดาวัลย์ ราชพฤกษ์ ถนนราชพฤกษ์ บางระมาด เขตตลิ่งชัน กรุงเทพมหานคร,15.0,9/22 ถนนราชพฤกษ์ บางระมาด เขตตลิ่งชัน กรุงเทพมหานคร,13.7556151,100.5471753
17,4 เจ โฮลดิ้ง จำกัด,29 ซอยลือชา ถนนพหลโยธิน  พญาไท เขตพญาไท กรุงเทพมหานคร,17.0,29 ถนนพหลโยธิน พญาไท เขตพญาไท กรุงเทพมหานคร,13.8832907,100.5513255
18,44 เมเนจเม้นท์  จำกัด,27  ซอยพหลโยธิน 69/2 อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร,18.0,27 ซอยพหลโยธิน 69/2 อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร,13.7443733,100.5411598
19,45 โฮลดิ้งส์ จำกัด,142  อาคารทู แปซิฟิคเพลส ชั้น 23 ถนนสุขุมวิท คลองเตย เขตคลองเตย กรุงเทพมหานคร,19.0,142 ถนนสุขุมวิท คลองเตย เขตคลองเตย กรุงเทพมหานคร,13.6411080,100.6526431
21,54 โฮลดิ้ง จำกัด,22/22-24  อาคารเอเวอร์กรีน วิว ทาวเวอร์ ชั้นที่ 2 ซอยบางนา-ตราด 56 บางนาใต้ เขตบางนา กรุงเทพมหานคร,21.0,22/22-24 ซอยบางนา-ตราด 56 บางนา เขตบางนา กรุงเทพมหานคร,13.7263972,100.4375460
23,88 พรอสเพอร์ รัม จำกัด,427/51  ถนนประชาราษฎร์ 2 บางซื่อ เขตบางซื่อ กรุงเทพมหานคร,23.0,427/51 ถนนประชาราษฎร์ 2 บางซื่อ เขตบางซื่อ กรุงเทพมหานคร,13.6448367,100.5682367
24,88 แคปปิตอล (ไทยแลนด์) จำกัด,94/53 ซอยนวมินทร์ 163 แยก 17  นวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร,24.0,94/53 ซอยนวมินทร์ 163 แยก 17 นวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร,13.8660503,100.4395048
25,ก.เทพวัลย์ โฮลดิ้ง จำกัด,8  ซอยเพชรเกษม 47/1 บางแค เขตบางแค กรุงเทพมหานคร,25.0,8 ซอยเพชรเกษม 47/1 บางแค เขตบางแค กรุงเทพมหานคร,13.8694403,100.5723220
26,กงพัฒนา กรุ๊ป โฮลดิ้ง จำกัด,89/1145  ซอยนวมินทร์ 81 แยก 3-30 นวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร,26.0,89/1145 ซอยนวมินทร์ 81 แยก 3-30 นวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร,13.8389673,100.4119320
27,กณิกนันต์ จำกัด,37  อาคารบิซ ทาวน์ ยูนิต 602 ซอยบางนา-ตราด 25 บางนาเหนือ เขตบางนา กรุงเทพมหานคร,27.0,37 ซอยบางนา-ตราด 25 บางนาเหนือ เขตบางนา กรุงเทพมหานคร,13.7922316,100.4669587
