_id,No.,Line_Code,Status,Station_Code,Station_Name_EN,Station_Name_TH,Latitude,Longitude
1,1,ARL,1,A1,Suvarnabhumi,สุวรรณภูมิ,13.69790742,100.7522493
2,2,ARL,0,A10,Don Muang,ดอนเมือง,,
3,3,ARL,1,A2,Lat Krabang,ลาดกระบัง,13.7278904,100.7486236
4,4,ARL,1,A3,Ban Thap Chang,บ้านทับช้าง,13.73282618,100.6913061
5,5,ARL,1,A4,Hua Mak,หัวหมาก,13.73804799,100.6451781
6,6,ARL,1,A5,Ramkhamhaeng,รามคำแหง,13.74298957,100.6001476
7,7,ARL,1,A6,Makkasan,มักกะสัน,13.75103218,100.5612032
8,8,ARL,1,A7,Ratchaprarop,ราชปรารภ,13.75510533,100.5421521
9,9,ARL,1,A8,Phaya Thai,พญาไท,13.75677853,100.5348391
10,10,ARL,0,A9,Bang Sue,บางซื่อ,,
11,11,Blue,1,BL01,Tha Phra,ท่าพระ,13.72969778,100.4741528
12,12,Blue,1,BL02,Charan 13,จรัญฯ 13,13.7403604,100.4706533
13,13,Blue,1,BL03,Fai Chai,ไฟฉาย,13.75513012,100.469225
14,14,Blue,1,BL04,Bang Khun Non,บางขุนนนท์,13.76322858,100.4732075
15,15,Blue,1,BL05,Bang Yi Khan,บางยี่ขัน,13.77753717,100.485243
16,16,Blue,1,BL06,Sirindhorn,สิรินธร,13.78406434,100.4934785
17,17,Blue,1,BL07,Bang Phlat,บางพลัด,13.79255197,100.5050425
18,18,Blue,1,BL08,Bang O,บางอ้อ,13.79901673,100.5096999
19,19,Blue,1,BL09,Bang Pho,บางโพ,13.80646721,100.5210402
20,20,Blue,1,BL10,Tao Poon,เตาปูน,13.80621259,100.530759
21,21,Blue,1,BL11,Bang Sue,บางซื่อ,13.80312385,100.5391893
22,22,Blue,1,BL12,Kamphaeng Phet,กำแพงเพชร,13.79809541,100.5475954
23,23,Blue,1,BL13,Chatuchak Park,สวนจตุจักร,13.80213175,100.5530476
24,24,Blue,1,BL14,Phahon Yothin,พหลโยธิน ,13.81434869,100.5601448
25,25,Blue,1,BL15,Lat Phrao,ลาดพร้าว,13.806243,100.5739567
